"Aerospace" 233.37 261.97 28.6
"Agriculture" 146.007 157.721 11.7143
"Automobile" 195.062 221.062 26
"Biotechnology" 177.938 198.688 20.75
"Bond" 145.879 163.307 17.4286
"Commodity" 216.767 245.433 28.6667
"Consulting" 240 275 35
"Consumer Goods" 149.25 161.028 11.7778
"Cryptocurrency" 96.85 119.183 22.3333
"ETF" 180 200 20
"Education" 160 171 11
"Energy" 197.65 216.25 18.6
"Entertainment" 210.8 240.8 30
"Environment" 166.267 181.1 14.8333
"Environmental" 100 110 10
"Finance" 138.708 148.875 10.1667
"Healthcare" 173.739 187.239 13.5
"Infrastructure" 198.583 218.417 19.8333
"Investment Fund" 150.25 145.25 -5
"Logistics" 145.8 153.8 8
"Manufacturing" 190.7 208.7 18
"Marketing" 130.7 152.7 22
"Mutual Fund" 162.5 178.75 16.25
"Private Equity" 180 252.5 72.5
"Real Estate" 297.9 337.043 39.1429
"Retail" 172.125 189.958 17.8333
"Stock" 204 227.4 23.4
"Technology" 194.964 212.929 17.9655
"Telecommunication" 140 155 15
"Telecommunications" 175.8 193.8 18
"Tourism" 190.1 212.1 22
"Transportation" 186.13 207.33 21.2
"Utilities" 145.3 154.3 9
